Year,Team,Goals_Scored
14-15,Arsenal,71.0
14-15,Aston Villa,31.0
14-15,Burnley,28.0
14-15,Chelsea,73.0
14-15,Crystal Palace,47.0
14-15,Everton,48.0
14-15,Hull,33.0
14-15,Leicester,46.0
14-15,Liverpool,52.0
14-15,Man City,83.0
14-15,Man United,62.0
14-15,Newcastle,40.0
14-15,QPR,42.0
14-15,Southampton,54.0
14-15,Stoke,48.0
14-15,Sunderland,31.0
14-15,Swansea,46.0
14-15,Tottenham,58.0
14-15,West Brom,38.0
14-15,West Ham,44.0
15-16,Arsenal,65.0
15-16,Aston Villa,27.0
15-16,Bournemouth,45.0
15-16,Chelsea,59.0
15-16,Crystal Palace,39.0
15-16,Everton,59.0
15-16,Leicester,68.0
15-16,Liverpool,63.0
15-16,Man City,71.0
15-16,Man United,49.0
15-16,Newcastle,44.0
15-16,Norwich,39.0
15-16,Southampton,59.0
15-16,Stoke,41.0
15-16,Sunderland,48.0
15-16,Swansea,42.0
15-16,Tottenham,69.0
15-16,Watford,40.0
15-16,West Brom,34.0
15-16,West Ham,65.0
16-17,Arsenal,77.0
16-17,Bournemouth,55.0
16-17,Burnley,39.0
16-17,Chelsea,85.0
16-17,Crystal Palace,50.0
16-17,Everton,62.0
16-17,Hull,37.0
16-17,Leicester,48.0
16-17,Liverpool,78.0
16-17,Man City,80.0
16-17,Man United,54.0
16-17,Middlesbrough,27.0
16-17,Southampton,41.0
16-17,Stoke,41.0
16-17,Sunderland,29.0
16-17,Swansea,45.0
16-17,Tottenham,86.0
16-17,Watford,40.0
16-17,West Brom,43.0
16-17,West Ham,47.0
17-18,Arsenal,74.0
17-18,Bournemouth,45.0
17-18,Brighton,34.0
17-18,Burnley,36.0
17-18,Chelsea,62.0
17-18,Crystal Palace,45.0
17-18,Everton,44.0
17-18,Huddersfield,28.0
17-18,Leicester,56.0
17-18,Liverpool,84.0
17-18,Man City,106.0
17-18,Man United,68.0
17-18,Newcastle,39.0
17-18,Southampton,37.0
17-18,Stoke,35.0
17-18,Swansea,28.0
17-18,Tottenham,74.0
17-18,Watford,44.0
17-18,West Brom,31.0
17-18,West Ham,48.0
18-19,Arsenal,73.0
18-19,Bournemouth,56.0
18-19,Brighton,35.0
18-19,Burnley,45.0
18-19,Cardiff,34.0
18-19,Chelsea,63.0
18-19,Crystal Palace,51.0
18-19,Everton,54.0
18-19,Fulham,34.0
18-19,Huddersfield,22.0
18-19,Leicester,51.0
18-19,Liverpool,89.0
18-19,Man City,95.0
18-19,Man United,65.0
18-19,Newcastle,42.0
18-19,Southampton,45.0
18-19,Tottenham,67.0
18-19,Watford,52.0
18-19,West Ham,52.0
18-19,Wolves,47.0
19-20,Arsenal,56.0
19-20,Aston Villa,41.0
19-20,Bournemouth,40.0
19-20,Brighton,39.0
19-20,Burnley,43.0
19-20,Chelsea,69.0
19-20,Crystal Palace,31.0
19-20,Everton,44.0
19-20,Leicester,67.0
19-20,Liverpool,85.0
19-20,Man City,102.0
19-20,Man United,66.0
19-20,Newcastle,38.0
19-20,Norwich,26.0
19-20,Sheffield United,39.0
19-20,Southampton,51.0
19-20,Tottenham,61.0
19-20,Watford,36.0
19-20,West Ham,49.0
19-20,Wolves,51.0
20-21,Arsenal,55.0
20-21,Aston Villa,55.0
20-21,Brighton,40.0
20-21,Burnley,33.0
20-21,Chelsea,58.0
20-21,Crystal Palace,41.0
20-21,Everton,47.0
20-21,Fulham,27.0
20-21,Leeds,62.0
20-21,Leicester,68.0
20-21,Liverpool,68.0
20-21,Man City,83.0
20-21,Man United,73.0
20-21,Newcastle,46.0
20-21,Sheffield United,20.0
20-21,Southampton,47.0
20-21,Tottenham,68.0
20-21,West Brom,35.0
20-21,West Ham,62.0
20-21,Wolves,36.0
21-22,Arsenal,61.0
21-22,Aston Villa,52.0
21-22,Brentford,48.0
21-22,Brighton,42.0
21-22,Burnley,34.0
21-22,Chelsea,76.0
21-22,Crystal Palace,50.0
21-22,Everton,43.0
21-22,Leeds,42.0
21-22,Leicester,62.0
21-22,Liverpool,94.0
21-22,Man City,99.0
21-22,Man United,57.0
21-22,Newcastle,44.0
21-22,Norwich,23.0
21-22,Southampton,43.0
21-22,Tottenham,69.0
21-22,Watford,34.0
21-22,West Ham,60.0
21-22,Wolves,38.0
22-23,Arsenal,88.0
22-23,Aston Villa,51.0
22-23,Bournemouth,37.0
22-23,Brentford,58.0
22-23,Brighton,72.0
22-23,Chelsea,38.0
22-23,Crystal Palace,40.0
22-23,Everton,34.0
22-23,Fulham,55.0
22-23,Leeds,48.0
22-23,Leicester,51.0
22-23,Liverpool,75.0
22-23,Man City,94.0
22-23,Man United,58.0
22-23,Newcastle,68.0
22-23,Nott'm Forest,38.0
22-23,Southampton,36.0
22-23,Tottenham,70.0
22-23,West Ham,42.0
22-23,Wolves,31.0
23-24,Arsenal,88.0
23-24,Aston Villa,73.0
23-24,Bournemouth,52.0
23-24,Brentford,52.0
23-24,Brighton,53.0
23-24,Burnley,39.0
23-24,Chelsea,70.0
23-24,Crystal Palace,49.0
23-24,Everton,38.0
23-24,Fulham,51.0
23-24,Liverpool,81.0
23-24,Luton,49.0
23-24,Man City,87.0
23-24,Man United,52.0
23-24,Newcastle,78.0
23-24,Nott'm Forest,45.0
23-24,Sheffield United,35.0
23-24,Tottenham,69.0
23-24,West Ham,56.0
23-24,Wolves,49.0
